scenario,control_case,control_case_name,duration_s,final_x_m,final_y_m,final_psi_deg,max_abs_y_error_m,rms_y_error_m,mean_Vx_m_s,max_abs_Vy_m_s,max_abs_beta_deg,max_abs_r_rad_s,max_abs_ay_m_s2,max_abs_Mz_cmd_Nm,control_effort_Mz_Nm_s,mean_total_wheel_torque_Nm,max_abs_wheel_torque_Nm,max_abs_T_FL_Nm,max_abs_T_FR_Nm,max_abs_T_RL_Nm,max_abs_T_RR_Nm,max_abs_torque_difference_RL_Nm,time_beta_over_3deg_s
double_lane_change,0,without_control,12,272.626960223034,62.1820712234006,14.6165415274664,62.1820712234006,26.051751815134,21.6970772581522,0.407277840497586,1.45845633435713,0.426233642953631,6.80501537858898,20000,16714.1934845139,1200,300,300,300,300,300,0,0
double_lane_change,1,stability_control,12,272.488103464388,62.5997174410039,14.6391788839668,62.5997174410039,20.2771713342642,20.8144281247724,0.325891823134862,1.16701412771572,0.583894282521005,7.54376270131,18389.2410425882,6545.39224681431,1200,300,300,300,300,300,0,0
double_lane_change,2,torque_vectoring,12,272.469392342766,62.6587811943176,14.6189995626856,62.6587811943176,20.6365704987498,20.8402523702838,0.319147070240732,1.14286126054745,0.588857690604243,7.64499042342142,20000,7266.04544802023,1200,2500,2500,2093.01271056026,2500,2093.01271056026,8800,0
aggressive_corner,0,without_control,20,34.8516620636107,-28.015901605601,738.041023488743,74.8572033455628,30.2451909451737,24.0087749230883,0.366299684994911,1.31171412419875,0.6810799532389,10.8926809812173,20000,369744.628371045,1200,300,300,300,300,300,0,0
aggressive_corner,1,stability_control,20,36.4818835756996,-27.3413341907233,741.027134557576,74.4429402551615,30.8763313422388,24.0374056550338,0.283672264788818,1.0158264710823,0.858465133944649,11.9425093340811,18571.9647887764,2989.36751715803,1200,300,300,300,300,300,0,0
aggressive_corner,2,torque_vectoring,20,36.4873392394071,-27.3594252014276,741.026879383043,74.4112925341429,30.067920448092,23.7099715037327,0.293213939154307,1.04999507549672,0.866640534642653,12.0361179295429,18746.2695633773,3156.87605605619,1200,2362.0896519715,1762.0896519715,2362.0896519715,1762.0896519715,2362.0896519715,8248.35860788602,0
low_mu_lane_change,0,without_control,12,272.626960223034,62.1820712234006,14.6165415274664,62.1820712234006,26.051751815134,21.6970772581522,0.407277840497586,1.45845633435713,0.426233642953631,6.80501537858898,20000,16714.1934845139,1200,300,300,300,300,300,0,0
low_mu_lane_change,1,stability_control,12,272.488103464388,62.5997174410039,14.6391788839668,62.5997174410039,20.2771713342642,20.8144281247724,0.325891823134862,1.16701412771572,0.583894282521005,7.54376270131,18389.2410425882,6545.39224681431,1200,300,300,300,300,300,0,0
low_mu_lane_change,2,torque_vectoring,12,272.469392342766,62.6587811943176,14.6189995626856,62.6587811943176,20.6365704987498,20.8402523702838,0.319147070240732,1.14286126054745,0.588857690604243,7.64499042342142,20000,7266.04544802023,1200,2500,2500,2093.01271056026,2500,2093.01271056026,8800,0
